max_d,max_p,months_since,sizerank,state
"20071201T000000",125300,58,3702,PA
"20070601T000000",279000,52,3703,FL
,nan,nan,3704,SC
"20071101T000000",98200,57,3705,SC
"20070901T000000",88900,55,3706,NY
"20070501T000000",234600,51,3707,NJ
"20061101T000000",291100,45,3708,IL
"20060301T000000",326800,37,3709,NY
"20050501T000000",139800,27,3710,MI
"20070201T000000",176100,49,3711,IL
"20060601T000000",56900,40,3712,PA
"20081201T000000",87600,70,3713,PA
"20060901T000000",200000,43,3714,PA
"20060601T000000",243900,40,3715,FL
"20030901T000000",92700,7,3716,MO
"20080801T000000",174800,66,3717,PA
,nan,nan,3718,MI
"20061101T000000",314400,45,3719,CT
,nan,nan,3720,WA
"20060601T000000",445700,40,3721,NJ
"20060701T000000",188200,41,3722,CO
"20081101T000000",147900,70,3723,NY
"20060401T000000",253800,38,3724,FL
"20051201T000000",192100,34,3725,MI
"20060901T000000",254700,43,3726,MD
"20070901T000000",134600,55,3727,NY
"20060601T000000",436400,40,3728,PA
"20070301T000000",219100,49,3729,IL
"20050201T000000",92700,25,3730,IN
"20080501T000000",133400,63,3731,IN
"20080101T000000",324200,59,3732,UT
"20050701T000000",132900,29,3733,MI
"20061101T000000",539000,45,3734,MD
"20080201T000000",289800,61,3735,CO
"20071101T000000",76500,57,3736,TN
"20060601T000000",165400,40,3737,MI
"20050701T000000",387600,29,3738,MA
"20050801T000000",65400,30,3739,PA
,nan,nan,3740,MS
"20060701T000000",276900,41,3741,CT
"20071201T000000",276700,58,3742,TX
"20060601T000000",418600,40,3743,NJ
"20051201T000000",353600,34,3744,CA
"20090601T000000",153700,76,3745,PA
"20060101T000000",337100,36,3746,FL
"20060501T000000",422300,39,3747,MD
"20061201T000000",312600,46,3748,CO
"20060901T000000",374300,43,3749,CT
"20051101T000000",566100,34,3750,MA
"20070801T000000",137100,54,3751,VA
"20070501T000000",229000,51,3752,OR
"20070401T000000",93700,50,3753,SC
"20060801T000000",270200,42,3754,WI
"20071101T000000",170100,57,3755,PA
"20060501T000000",250100,39,3756,MN
"20060401T000000",94900,38,3757,OH
"20060401T000000",456300,38,3758,FL
"20070501T000000",305300,51,3759,PA
"20050701T000000",252100,29,3760,MI
"20050601T000000",102600,28,3761,IN
